v-sweep;V(/out1);user1;
0.143;1.8;-6.74825e-05;
0.144;1.8;-6.93255e-05;
0.145;1.8;-7.12189e-05;
0.146;1.8;-7.31632e-05;
0.147;1.8;-7.51605e-05;
0.148;1.8;-7.72124e-05;
0.149;1.8;-7.93198e-05;
0.15;1.8;-8.14849e-05;
0.151;1.8;-8.37083e-05;
0.152;1.8;-8.59917e-05;
0.153;1.8;-8.83375e-05;
0.154;1.8;-9.0747e-05;
0.155;1.8;-9.32215e-05;
0.156;1.8;-9.57636e-05;
0.157;1.8;-9.83742e-05;
0.158;1.8;-0.000101056;
0.159;1.8;-0.00010381;
0.16;1.8;-0.000106639;
0.161;1.8;-0.000109544;
0.162;1.8;-0.000112527;
0.163;1.8;-0.000115593;
0.164;1.8;-0.000118741;
0.165;1.8;-0.000121973;
0.166;1.8;-0.000125293;
0.167;1.8;-0.000128704;
0.168;1.8;-0.000132206;
0.169;1.79999;-0.000135803;
0.17;1.79999;-0.000139497;
0.171;1.79999;-0.000143291;
0.172;1.79999;-0.000147187;
0.173;1.79999;-0.000151189;
0.174;1.79999;-0.000155299;
0.175;1.79999;-0.000159519;
0.176;1.79999;-0.000163853;
0.177;1.79999;-0.000168304;
0.178;1.79999;-0.000172874;
0.179;1.79999;-0.000177569;
0.18;1.79999;-0.00018239;
0.181;1.79999;-0.000187339;
0.182;1.79999;-0.000192423;
0.183;1.79999;-0.000197643;
0.184;1.79999;-0.000203004;
0.185;1.79999;-0.000208509;
0.186;1.79999;-0.000214161;
0.187;1.79999;-0.000219965;
0.188;1.79999;-0.000225927;
0.189;1.79999;-0.000232048;
0.19;1.79999;-0.000238332;
0.191;1.79999;-0.000244786;
0.192;1.79999;-0.000251412;
0.193;1.79999;-0.000258216;
0.194;1.79999;-0.000265203;
0.195;1.79999;-0.000272376;
0.196;1.79999;-0.000279742;
0.197;1.79999;-0.000287305;
0.198;1.79999;-0.00029507;
0.199;1.79999;-0.000303043;
0.2;1.79999;-0.000311229;
0.201;1.79999;-0.000319633;
0.202;1.79999;-0.000328262;
0.203;1.79999;-0.000337122;
0.204;1.79999;-0.000346218;
0.205;1.79999;-0.000355556;
0.206;1.79999;-0.000365144;
0.207;1.79999;-0.000374987;
0.208;1.79999;-0.000385092;
0.209;1.79999;-0.000395466;
0.21;1.79998;-0.000406116;
0.211;1.79998;-0.000417049;
0.212;1.79998;-0.000428274;
0.213;1.79998;-0.000439796;
0.214;1.79998;-0.000451624;
0.215;1.79998;-0.000463767;
0.216;1.79998;-0.000476231;
0.217;1.79998;-0.000489026;
0.218;1.79998;-0.00050216;
0.219;1.79998;-0.000515642;
0.22;1.79998;-0.000529481;
0.221;1.79998;-0.000543686;
0.222;1.79998;-0.000558266;
0.223;1.79998;-0.000573232;
0.224;1.79998;-0.000588594;
0.225;1.79998;-0.000604362;
0.226;1.79998;-0.000620544;
0.227;1.79998;-0.000637154;
0.228;1.79998;-0.000654202;
0.229;1.79997;-0.000671698;
0.23;1.79997;-0.000689656;
0.231;1.79997;-0.000708085;
