time;V(/in);V(/out);
4,9328e-11;0;1,8;
4,9428e-11;0;1,8;
4,9528e-11;0;1,8;
4,9628e-11;0;1,8;
4,9728e-11;0;1,8;
4,9828e-11;0;1,8;
4,9928e-11;0;1,8;
5,0028e-11;0;1,8;
5,0128e-11;0;1,8;
5,0228e-11;0;1,8;
5,0328e-11;0;1,8;
5,0428e-11;0;1,8;
5,0528e-11;0;1,8;
5,0628e-11;0;1,8;
5,0728e-11;0;1,8;
5,0828e-11;0;1,8;
5,0928e-11;0;1,8;
5,1028e-11;0;1,8;
5,1128e-11;0;1,8;
5,1228e-11;0;1,8;
5,1328e-11;0;1,8;
5,1428e-11;0;1,8;
5,1528e-11;0;1,8;
5,1628e-11;0;1,8;
5,1728e-11;0;1,8;
5,1828e-11;0;1,8;
5,1928e-11;0;1,8;
5,2028e-11;0;1,8;
5,2128e-11;0;1,8;
5,2228e-11;0;1,8;
5,2328e-11;0;1,8;
5,2428e-11;0;1,8;
5,2528e-11;0;1,8;
5,2628e-11;0;1,8;
5,2728e-11;0;1,8;
5,2828e-11;0;1,8;
5,2928e-11;0;1,8;
5,3028e-11;0;1,8;
5,3128e-11;0;1,8;
5,3228e-11;0;1,8;
5,3328e-11;0;1,8;
5,3428e-11;0;1,8;
5,3528e-11;0;1,8;
5,3628e-11;0;1,8;
5,3728e-11;0;1,8;
5,3828e-11;0;1,8;
5,3928e-11;0;1,8;
5,4028e-11;0;1,8;
5,4128e-11;0;1,8;
5,4228e-11;0;1,8;
5,4328e-11;0;1,8;
5,4428e-11;0;1,8;
5,4528e-11;0;1,8;
5,4628e-11;0;1,8;
5,4728e-11;0;1,8;
5,4828e-11;0;1,8;
5,4928e-11;0;1,8;
5,5028e-11;0;1,8;
5,5128e-11;0;1,8;
5,5228e-11;0;1,8;
5,5328e-11;0;1,8;
5,5428e-11;0;1,8;
5,5528e-11;0;1,8;
5,5628e-11;0;1,8;
5,5728e-11;0;1,8;
5,5828e-11;0;1,8;
5,5928e-11;0;1,8;
5,6028e-11;0;1,8;
5,6128e-11;0;1,8;
5,6228e-11;0;1,8;
5,6328e-11;0;1,8;
5,6428e-11;0;1,8;
5,6528e-11;0;1,8;
5,6628e-11;0;1,8;
5,6728e-11;0;1,8;
5,6828e-11;0;1,8;
5,6928e-11;0;1,8;
5,7028e-11;0;1,8;
5,7128e-11;0;1,8;
5,7228e-11;0;1,8;
5,7328e-11;0;1,8;
5,7428e-11;0;1,8;
5,7528e-11;0;1,8;
5,7628e-11;0;1,8;
5,7728e-11;0;1,8;
5,7828e-11;0;1,8;
5,7928e-11;0;1,8;
5,8028e-11;0;1,8;
5,8128e-11;0;1,8;
5,8228e-11;0;1,8;
5,8328e-11;0;1,8;
5,8428e-11;0;1,8;
5,8528e-11;0;1,8;
5,8628e-11;0;1,8;
5,8728e-11;0;1,8;
5,8828e-11;0;1,8;
5,8928e-11;0;1,8;
5,9028e-11;0;1,8;
5,9128e-11;0;1,8;
5,9228e-11;0;1,8;
5,9328e-11;0;1,8;
5,9428e-11;0;1,8;
5,9528e-11;0;1,8;
5,9628e-11;0;1,8;
5,9728e-11;0;1,8;
5,9828e-11;0;1,8;
5,9928e-11;0;1,8;
6,0028e-11;0;1,8;
6,0128e-11;0;1,8;
6,0228e-11;0;1,8;
6,0328e-11;0;1,8;
6,0428e-11;0;1,8;
6,0528e-11;0;1,8;
6,0628e-11;0;1,8;
